starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:05:15 2023	1675105515	0	712	712	701
Tue Jan 31 01:05:17 2023	1675105517	0	713	713	347
Tue Jan 31 01:05:18 2023	1675105518	0	713	713	712
Tue Jan 31 01:05:17 2023	1675105517	0	713	714	360
Tue Jan 31 01:05:14 2023	1675105514	0	714	714	692
Tue Jan 31 01:05:17 2023	1675105517	2	714	715	293
Tue Jan 31 01:05:19 2023	1675105519	0	715	715	715
Tue Jan 31 01:05:14 2023	1675105514	0	718	718	717
Tue Jan 31 01:05:16 2023	1675105516	0	718	718	718
Tue Jan 31 01:05:14 2023	1675105514	0	719	719	717
Tue Jan 31 01:05:19 2023	1675105519	0	720	720	627
Tue Jan 31 01:05:14 2023	1675105514	0	721	721	720
Tue Jan 31 01:05:19 2023	1675105519	0	722	722	722
Tue Jan 31 01:05:19 2023	1675105519	0	724	724	667
Tue Jan 31 01:05:18 2023	1675105518	0	724	724	722
Tue Jan 31 01:05:13 2023	1675105513	2	722	724	722
