starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:34 2023	1675105474	0	249	249	247
Tue Jan 31 01:04:34 2023	1675105474	0	249	249	247
Tue Jan 31 01:04:35 2023	1675105475	0	249	249	204
Tue Jan 31 01:04:35 2023	1675105475	0	250	250	207
Tue Jan 31 01:04:41 2023	1675105481	0	250	250	249
Tue Jan 31 01:04:33 2023	1675105473	2	248	250	248
Tue Jan 31 01:04:33 2023	1675105473	3	248	250	247
Tue Jan 31 01:04:38 2023	1675105478	0	250	250	250
Tue Jan 31 01:04:39 2023	1675105479	0	251	251	250
Tue Jan 31 01:04:34 2023	1675105474	0	251	251	250
Tue Jan 31 01:04:34 2023	1675105474	0	251	251	250
Tue Jan 31 01:04:34 2023	1675105474	1	251	251	250
Tue Jan 31 01:04:38 2023	1675105478	0	251	251	250
Tue Jan 31 01:04:38 2023	1675105478	0	252	252	128
Tue Jan 31 01:04:38 2023	1675105478	0	252	252	190
Tue Jan 31 01:04:38 2023	1675105478	0	252	253	251
Tue Jan 31 01:04:38 2023	1675105478	0	252	253	196
Tue Jan 31 01:04:40 2023	1675105480	0	253	253	252
Tue Jan 31 01:04:38 2023	1675105478	0	252	253	184
Tue Jan 31 01:04:39 2023	1675105479	0	253	253	252
Tue Jan 31 01:04:34 2023	1675105474	0	253	253	185
Tue Jan 31 01:04:34 2023	1675105474	0	253	253	252
Tue Jan 31 01:04:40 2023	1675105480	0	253	253	252
Tue Jan 31 01:04:34 2023	1675105474	1	252	253	252
Tue Jan 31 01:04:34 2023	1675105474	0	253	254	200
Tue Jan 31 01:04:34 2023	1675105474	0	254	254	253
Tue Jan 31 01:04:35 2023	1675105475	0	254	254	252
Tue Jan 31 01:04:34 2023	1675105474	0	254	254	253
Tue Jan 31 01:04:33 2023	1675105473	2	252	254	251
Tue Jan 31 01:04:33 2023	1675105473	3	252	255	251
Tue Jan 31 01:04:33 2023	1675105473	0	255	255	254
Tue Jan 31 01:04:34 2023	1675105474	0	255	255	214
Tue Jan 31 01:04:34 2023	1675105474	0	255	255	252
Tue Jan 31 01:04:34 2023	1675105474	0	255	255	207
Tue Jan 31 01:04:34 2023	1675105474	0	255	255	254
Tue Jan 31 01:04:34 2023	1675105474	0	255	256	254
Tue Jan 31 01:04:34 2023	1675105474	0	256	256	206
Tue Jan 31 01:04:34 2023	1675105474	1	255	256	254
Tue Jan 31 01:04:34 2023	1675105474	0	256	256	235
Tue Jan 31 01:04:34 2023	1675105474	0	257	257	252
Tue Jan 31 01:04:34 2023	1675105474	1	257	258	257
Tue Jan 31 01:04:35 2023	1675105475	0	258	258	190
Tue Jan 31 01:04:34 2023	1675105474	0	258	259	257
Tue Jan 31 01:04:35 2023	1675105475	0	259	259	259
Tue Jan 31 01:04:34 2023	1675105474	0	259	260	259
Tue Jan 31 01:04:34 2023	1675105474	0	259	260	259
Tue Jan 31 01:04:35 2023	1675105475	0	260	260	259
Tue Jan 31 01:04:34 2023	1675105474	0	260	260	150
Tue Jan 31 01:04:34 2023	1675105474	0	260	260	259
Tue Jan 31 01:04:35 2023	1675105475	0	260	260	260
Tue Jan 31 01:04:35 2023	1675105475	0	260	261	209
Tue Jan 31 01:04:33 2023	1675105473	2	259	261	258
Tue Jan 31 01:04:36 2023	1675105476	0	261	261	259
Tue Jan 31 01:04:34 2023	1675105474	0	261	261	260
Tue Jan 31 01:04:35 2023	1675105475	0	261	261	189
Tue Jan 31 01:04:35 2023	1675105475	0	262	262	219
Tue Jan 31 01:04:34 2023	1675105474	0	262	262	261
Tue Jan 31 01:04:38 2023	1675105478	0	262	262	261
Tue Jan 31 01:04:40 2023	1675105480	0	262	262	260
Tue Jan 31 01:04:39 2023	1675105479	0	262	262	189
Tue Jan 31 01:04:38 2023	1675105478	0	262	262	216
Tue Jan 31 01:04:35 2023	1675105475	0	262	262	257
Tue Jan 31 01:04:34 2023	1675105474	0	263	263	256
Tue Jan 31 01:04:35 2023	1675105475	0	264	264	263
Tue Jan 31 01:04:39 2023	1675105479	0	264	265	262
Tue Jan 31 01:04:36 2023	1675105476	0	265	265	240
Tue Jan 31 01:04:33 2023	1675105473	2	262	265	262
Tue Jan 31 01:04:35 2023	1675105475	0	265	265	264
